Item,Country,Loc,Year,Ep,Mag,Seism,TAG,Daño,Cont,G,Dft,Dm,Hft,Hm,DH,Hmax,HLLm,Llen,VL,t,tf,Cr,Anc,Roof,Damage
182,USA,ANC,1964,ALA,9.2,SD,B,sin daño,FO,0.8,100,30.5,32,9.76,3.13,9.76,9.76,full,7131,12,11,0.36,no,CN,"FSR, CB"
183,USA,ANC,1964,ALA,9.2,SD,C,pandeo,TF,0.8,45,13.73,32,9.76,1.41,9.76,9.76,full,1444,5.3,9,0.16,no,CN,"RD, FSR, BSL"
184,USA,ANC,1964,ALA,9.2,SD,D,sin daño,FO,0.8,120,36.6,32,9.76,3.75,9.76,9.76,full,10268,14,14,0.42,no,CN,"RD, FSR, CB"
185,USA,ANC,1964,ALA,9.2,SD,E,sin daño,NI,0.8,120,36.6,32,9.76,3.75,9.76,0.98,empty,10268,14,14,0,no,CN,U
186,USA,ANC,1964,ALA,9.2,SD,F,sin daño,NI,0.8,120,36.6,32,9.76,3.75,9.76,0.98,empty,10268,14,14,0,no,CN,U
187,USA,ANC,1964,ALA,9.2,SD,G,sin daño,NI,0.75,110,33.55,32,9.76,3.44,9.76,0.98,empty,8628,14,14,0,no,CN,U
188,USA,ANC,1964,ALA,9.2,SD,H,sin daño,NI,0.8,90,27.45,36,10.98,2.5,10.98,6.4,"0,583 full",6498,13.2,11,1.18,no,CN,U
189,USA,ANC,1964,ALA,9.2,SD,I,sin daño,FO,0.8,55,16.78,23,7.02,2.39,7.02,7.02,full,1550,6.4,9,0.37,no,CN,"RD, FSR"
190,USA,ANC,1964,ALA,9.2,SD,J,pandeo,NI,0.8,30,9.15,40,12.2,0.75,12.2,12.2,full,802,4.8,9,0.13,no,CN,BSL
191,USA,ANC,1964,ALA,9.2,SD,K,pandeo,NI,0.8,30,9.15,40,12.2,0.75,12.2,12.2,full,802,4.8,9,0.13,no,CN,BSL
192,USA,ANC,1964,ALA,9.2,SD,L,pandeo,NI,0.8,30,9.15,40,12.2,0.75,12.2,12.2,full,802,4.8,9,0.13,no,CN,BSL
193,USA,ANC,1964,ALA,9.2,SD,N,pandeo,NI,0.8,42,12.81,40,12.2,1.05,12.2,12.2,full,1572,5.8,9,0.14,no,CN,BSL
194,USA,ANC,1964,ALA,9.2,SD,O,pandeo,NI,0.8,20,6.1,40,12.2,0.5,12.2,12.2,full,357,4.8,9,0.19,no,CN,BSL
195,USA,ANC,1964,ALA,9.2,SD,T,sin daño,NI,0.8,160,48.8,56,17.08,2.86,17.08,17.08,full,31946,33,9,0.57,no,CN,CB
196,USA,ANC,1964,ALA,9.2,SD,U,sin daño,NI,0.8,160,48.8,56,17.08,2.86,17.08,17.08,full,31946,33,9,0.57,no,CN,U
197,USA,NIK,1964,ALA,9.2,SD,R200,colapso,DW,1,30,9.15,48,14.64,0.63,14.64,14.64,full,963,5.3,9, ,no,CN,CL
198,USA,ANC,1964,ALA,9.2,SD,AA5,colapso,JF,0.8,28,8.54,40,12.2,0.7,12.2,12.2,full,699,4.8,9,0.14,no,CN,CL
199,USA,ANC,1964,ALA,9.2,SD,AA7,pandeo,JF,0.8,40,12.2,42.5,12.96,0.94,12.96,12.96,full,1515,6.1,9,0.19,no,CN,BSL
